Recenum,G
10070099,-0.002150128
10070100,-0.005451412
10080001,-0.00545141
10080002,0.000899277
10080003,0.002723415
10080004,0.00084431
10080005,-0.00175535
10080006,-0.000858353
10080007,-0.004315948
10080008,-0.007374595
10080009,-0.006633317
10080010,-0.008670497
10080011,-0.010704867
10080012,-0.009236993
10080013,-0.01135939
10080014,-0.011427764
10080015,-0.010375436
10080016,-0.012376428
10080017,-0.008184498
10080018,-0.003792455
10080019,-0.000483243
10080020,0.009103204
10080021,0.020897393
10080022,0.029924399
10080023,0.045461765
10080024,0.061536994
10080025,0.070694877
10080026,0.078426838
10080027,0.076343096
10080028,0.052071328
10080029,0.003323001
10080030,-0.076378846
10080031,-0.203569018
10080032,-0.385520847
10080033,-0.626858418
10080034,-0.929299677
10080035,-1.293790444
10080036,-1.691662838
10080037,-2.091546533
10080038,-2.439753123
10080039,-2.653354487
10080040,-2.632832621
10080041,-2.2589274
10080042,-1.423949623
10080043,-0.103383999
10080044,1.335352502
10080045,2.376094709
10080046,2.924285907
10080047,3.160578111
10080048,3.204912608
10080049,3.077086096
10080050,2.947988548
10080051,2.871859392
10080052,2.781541768
10080053,2.744546349
10080054,2.704316388
10080055,2.473637136
10080056,2.02111209
10080057,1.22627092
10080058,-0.040868877
10080059,-1.344737897
10080060,-2.188435446
10080061,-2.574859367
10080062,-2.601865825
10080063,-2.393825566
10080064,-2.052860166
10080065,-1.651231678
10080066,-1.259272053
10080067,-0.902288304
10080068,-0.600766378
10080069,-0.3653616
10080070,-0.188361276
10080071,-0.064805071
10080072,0.015336429
10080073,0.057824734
10080074,0.078855825
10080075,0.083670484
10080076,0.073537155
10080077,0.060338195
10080078,0.048033651
10080079,0.032861886
10080080,0.017546481
10080081,0.011531723
10080082,0.001869129
10080083,-0.006651783
10080084,-0.007361671
10080085,-0.009592814
10080086,-0.011976202
10080087,-0.01040949
10080088,-0.009363139
10080089,-0.009893554
10080090,-0.006990351
10080091,-0.009581225
10080092,-0.007221267
10080093,-0.002746021
10080094,-0.00630169
10080095,-0.00338968
10080096,-0.003515038
10080097,-0.006874366
10080098,-0.00635329
10080099,-0.008158349
10080100,-0.005451385
10090001,-0.005451379
10090002,-0.007573554
10090003,-0.007741766
10090004,-0.004455838
10090005,-0.005613556
10090006,-0.006450124
10090007,-0.004199003
10090008,-0.005419242
10090009,-0.008014007
10090010,-0.00788331
10090011,-0.009560095
10090012,-0.010866912
10090013,-0.009561554
10090014,-0.009988801
10090015,-0.011089714
10090016,-0.009730961
10090017,-0.008695554
10090018,-0.005363837
10090019,0.002262962
10090020,0.011504096
10090021,0.023551082
10090022,0.035983336
10090023,0.053248539
10090024,0.071785194
10090025,0.085089218
10090026,0.097434694
10090027,0.097649613
10090028,0.078281471
10090029,0.036280367
10090030,-0.045349634
10090031,-0.172833169
10090032,-0.358300889
10090033,-0.612384047
10090034,-0.939218664
10090035,-1.327035832
10090036,-1.765630415
10090037,-2.21284985
10090038,-2.610355713
10090039,-2.870623772
10090040,-2.869483959
10090041,-2.482287205
10090042,-1.578922734
10090043,-0.119026848
10090044,1.455455611
10090045,2.564758112
10090046,3.17698009
10090047,3.40375651
10090048,3.382831289
10090049,3.242061556
10090050,3.066744834
10090051,2.922310567
10090052,2.846284039
10090053,2.81516392
10090054,2.759701366
10090055,2.5775826
10090056,2.126589151
10090057,1.261224336
10090058,-0.071682849
10090059,-1.468323445
10090060,-2.374325497
10090061,-2.763886133
10090062,-2.768011007
10090063,-2.522598646
10090064,-2.136678719
10090065,-1.702047896
10090066,-1.276533103
10090067,-0.896791413
10090068,-0.584353862
10090069,-0.336977237
10090070,-0.156315719
10090071,-0.037207838
10090072,0.040085849
10090073,0.082591061
